2024-11-27 03:06:47 - FewShotSeg - INFO - Epoch: 0
2024-11-27 03:06:47 - FewShotSeg - INFO - Epoch: 0, Iteration: 0, Training Loss: 0.6408, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:47 - FewShotSeg - INFO - Epoch: 0, Iteration: 1, Training Loss: 0.5581, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:48 - FewShotSeg - INFO - Epoch: 0, Iteration: 2, Training Loss: 0.4673, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:48 - FewShotSeg - INFO - Epoch: 0, Iteration: 3, Training Loss: 0.4360, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:48 - FewShotSeg - INFO - Epoch: 0, Iteration: 4, Training Loss: 0.4029, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:49 - FewShotSeg - INFO - Epoch: 0, Iteration: 5, Training Loss: 0.2766, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:49 - FewShotSeg - INFO - Epoch: 0, Iteration: 6, Training Loss: 0.3332, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:49 - FewShotSeg - INFO - Epoch: 0, Iteration: 7, Training Loss: 0.2343, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:49 - FewShotSeg - INFO - Epoch: 0, Iteration: 8, Training Loss: 0.2571, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:50 - FewShotSeg - INFO - Epoch: 0, Iteration: 9, Training Loss: 0.2459, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:50 - FewShotSeg - INFO - Epoch: 0, Iteration: 10, Training Loss: 0.3264, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:50 - FewShotSeg - INFO - Epoch: 0, Iteration: 11, Training Loss: 0.1366, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:50 - FewShotSeg - INFO - Epoch: 0, Iteration: 12, Training Loss: 0.2416, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:51 - FewShotSeg - INFO - Epoch: 0, Iteration: 13, Training Loss: 0.0665, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:51 - FewShotSeg - INFO - Epoch: 0, Iteration: 14, Training Loss: 0.0879, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:51 - FewShotSeg - INFO - Epoch: 0, Iteration: 15, Training Loss: 0.2175, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:52 - FewShotSeg - INFO - Epoch: 0, Iteration: 16, Training Loss: 0.1942, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:52 - FewShotSeg - INFO - Epoch: 0, Iteration: 17, Training Loss: 0.1017, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:52 - FewShotSeg - INFO - Epoch: 0, Iteration: 18, Training Loss: 0.0783, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:52 - FewShotSeg - INFO - Epoch: 0, Iteration: 19, Training Loss: 0.1587, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:53 - FewShotSeg - INFO - Epoch: 0, Iteration: 20, Training Loss: 0.0529, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:53 - FewShotSeg - INFO - Epoch: 0, Iteration: 21, Training Loss: 0.0436, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:53 - FewShotSeg - INFO - Epoch: 0, Iteration: 22, Training Loss: 0.0349, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:53 - FewShotSeg - INFO - Epoch: 0, Iteration: 23, Training Loss: 0.1416, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:54 - FewShotSeg - INFO - Epoch: 0, Iteration: 24, Training Loss: 0.3813, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:54 - FewShotSeg - INFO - Epoch: 0, Iteration: 25, Training Loss: 0.0276, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:54 - FewShotSeg - INFO - Epoch: 0, Iteration: 26, Training Loss: 0.0240, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:55 - FewShotSeg - INFO - Epoch: 0, Iteration: 27, Training Loss: 0.2541, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:55 - FewShotSeg - INFO - Epoch: 0, Iteration: 28, Training Loss: 0.1481, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:55 - FewShotSeg - INFO - Epoch: 0, Iteration: 29, Training Loss: 0.0253, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:55 - FewShotSeg - INFO - Epoch: 0, Iteration: 30, Training Loss: 0.4395, Mean IoU: 0.0000, Mean Accuracy: 0.0000
2024-11-27 03:06:56 - FewShotSeg - INFO - Epoch: 0, Iteration: 31, Training Loss: 0.0125, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:56 - FewShotSeg - INFO - Epoch: 0, Iteration: 32, Training Loss: 0.2524, Mean IoU: 0.0206, Mean Accuracy: 0.0412
2024-11-27 03:06:56 - FewShotSeg - INFO - Epoch: 0, Iteration: 33, Training Loss: 0.0941, Mean IoU: 0.0504, Mean Accuracy: 0.1008
2024-11-27 03:06:56 - FewShotSeg - INFO - Epoch: 0, Iteration: 34, Training Loss: 0.0124, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:57 - FewShotSeg - INFO - Epoch: 0, Iteration: 35, Training Loss: 0.0583, Mean IoU: 0.0425, Mean Accuracy: 0.0850
2024-11-27 03:06:57 - FewShotSeg - INFO - Epoch: 0, Iteration: 36, Training Loss: 0.1040, Mean IoU: 0.1310, Mean Accuracy: 0.2619
2024-11-27 03:06:57 - FewShotSeg - INFO - Epoch: 0, Iteration: 37, Training Loss: 0.0163, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:57 - FewShotSeg - INFO - Epoch: 0, Iteration: 38, Training Loss: 0.0167, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:58 - FewShotSeg - INFO - Epoch: 0, Iteration: 39, Training Loss: 0.0460, Mean IoU: 0.3032, Mean Accuracy: 0.6065
2024-11-27 03:06:58 - FewShotSeg - INFO - Epoch: 0, Iteration: 40, Training Loss: 0.0690, Mean IoU: 0.2999, Mean Accuracy: 0.5999
2024-11-27 03:06:58 - FewShotSeg - INFO - Epoch: 0, Iteration: 41, Training Loss: 0.0154, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:59 - FewShotSeg - INFO - Epoch: 0, Iteration: 42, Training Loss: 0.0374, Mean IoU: 0.4133, Mean Accuracy: 0.8266
2024-11-27 03:06:59 - FewShotSeg - INFO - Epoch: 0, Iteration: 43, Training Loss: 0.0174, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:06:59 - FewShotSeg - INFO - Epoch: 0, Iteration: 44, Training Loss: 0.0456, Mean IoU: 0.4074, Mean Accuracy: 0.8147
2024-11-27 03:06:59 - FewShotSeg - INFO - Epoch: 0, Iteration: 45, Training Loss: 0.0250, Mean IoU: 0.4338, Mean Accuracy: 0.8676
2024-11-27 03:07:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 46, Training Loss: 0.0309, Mean IoU: 0.4503, Mean Accuracy: 0.9005
2024-11-27 03:07:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 47, Training Loss: 0.0299, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 48, Training Loss: 0.0716, Mean IoU: 0.3207, Mean Accuracy: 0.6414
2024-11-27 03:07:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 49, Training Loss: 0.0292, Mean IoU: 0.4447, Mean Accuracy: 0.8893
2024-11-27 03:07:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 50, Training Loss: 0.0124, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 51, Training Loss: 0.0540, Mean IoU: 0.4717, Mean Accuracy: 0.9434
2024-11-27 03:07:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 52, Training Loss: 0.0112, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 53, Training Loss: 0.0171, Mean IoU: 0.4840, Mean Accuracy: 0.9680
2024-11-27 03:07:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 54, Training Loss: 0.0142, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 55, Training Loss: 0.0182, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 56, Training Loss: 0.0295, Mean IoU: 0.4356, Mean Accuracy: 0.8713
2024-11-27 03:07:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 57, Training Loss: 0.0103, Mean IoU: nan, Mean Accuracy: nan
2024-11-27 03:07:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 58, Training Loss: 0.0514, Mean IoU: 0.4624, Mean Accuracy: 0.9249
2024-11-27 03:07:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 59, Training Loss: 0.0161, Mean IoU: 0.4649, Mean Accuracy: 0.9297
2024-11-27 03:07:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 60, Training Loss: 0.0202, Mean IoU: 0.4715, Mean Accuracy: 0.9430
2024-11-27 03:07:04 - FewShotSeg - INFO - Epoch: 0, Iteration: 61, Training Loss: 0.0064, Mean IoU: nan, Mean Accuracy: nan
