2024-11-27 14:40:59 - FewShotSeg - INFO - Epoch: 0
2024-11-27 14:40:59 - FewShotSeg - INFO - Epoch: 0, Iteration: 0, Training Loss: 0.6999, Mean IoU: 0.2481, Mean Accuracy: 0.4581, per Category IOU: [0.49350905 0.00266238]
2024-11-27 14:41:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 1, Training Loss: 0.6387, Mean IoU: 0.4115, Mean Accuracy: 0.5662, per Category IOU: [0.81632852 0.00677125]
2024-11-27 14:41:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 2, Training Loss: 0.5545, Mean IoU: 0.4911, Mean Accuracy: 0.6095, per Category IOU: [0.96356801 0.01860184]
2024-11-27 14:41:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 3, Training Loss: 0.4557, Mean IoU: 0.4971, Mean Accuracy: 0.4994, per Category IOU: [0.99420291 0.        ]
2024-11-27 14:41:00 - FewShotSeg - INFO - Epoch: 0, Iteration: 4, Training Loss: 0.4333, Mean IoU: 0.4960, Mean Accuracy: 0.4990, per Category IOU: [0.99201062 0.        ]
2024-11-27 14:41:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 5, Training Loss: 0.3531, Mean IoU: 0.4982, Mean Accuracy: 0.5000, per Category IOU: [0.99634038 0.        ]
2024-11-27 14:41:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 6, Training Loss: 0.3005, Mean IoU: 0.4984, Mean Accuracy: 0.5000, per Category IOU: [0.99675143 0.        ]
2024-11-27 14:41:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 7, Training Loss: 0.3221, Mean IoU: 0.4971, Mean Accuracy: 0.5000, per Category IOU: [0.99429259 0.        ]
2024-11-27 14:41:01 - FewShotSeg - INFO - Epoch: 0, Iteration: 8, Training Loss: 0.2615, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99652224 0.        ]
2024-11-27 14:41:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 9, Training Loss: 0.1834, Mean IoU: 0.4987, Mean Accuracy: 0.5000, per Category IOU: [0.99748137 0.        ]
2024-11-27 14:41:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 10, Training Loss: 0.2015, Mean IoU: 0.4981, Mean Accuracy: 0.5000, per Category IOU: [0.99621582 0.        ]
2024-11-27 14:41:02 - FewShotSeg - INFO - Epoch: 0, Iteration: 11, Training Loss: 0.2028, Mean IoU: 0.4978, Mean Accuracy: 0.5000, per Category IOU: [0.99568021 0.        ]
2024-11-27 14:41:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 12, Training Loss: 0.1462, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99699059 0.        ]
2024-11-27 14:41:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 13, Training Loss: 0.1392, Mean IoU: 0.4984, Mean Accuracy: 0.5000, per Category IOU: [0.99687351 0.        ]
2024-11-27 14:41:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 14, Training Loss: 0.1390, Mean IoU: 0.4986, Mean Accuracy: 0.5000, per Category IOU: [0.99716 0.     ]
2024-11-27 14:41:03 - FewShotSeg - INFO - Epoch: 0, Iteration: 15, Training Loss: 0.1313, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99694575 0.        ]
2024-11-27 14:41:04 - FewShotSeg - INFO - Epoch: 0, Iteration: 16, Training Loss: 0.1440, Mean IoU: 0.4979, Mean Accuracy: 0.5000, per Category IOU: [0.99570014 0.        ]
2024-11-27 14:41:04 - FewShotSeg - INFO - Epoch: 0, Iteration: 17, Training Loss: 0.1277, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99669414 0.        ]
2024-11-27 14:41:04 - FewShotSeg - INFO - Epoch: 0, Iteration: 18, Training Loss: 0.1647, Mean IoU: 0.4976, Mean Accuracy: 0.5000, per Category IOU: [0.99512715 0.        ]
2024-11-27 14:41:04 - FewShotSeg - INFO - Epoch: 0, Iteration: 19, Training Loss: 0.1223, Mean IoU: 0.4984, Mean Accuracy: 0.5000, per Category IOU: [0.99686105 0.        ]
2024-11-27 14:41:05 - FewShotSeg - INFO - Epoch: 0, Iteration: 20, Training Loss: 0.1612, Mean IoU: 0.4975, Mean Accuracy: 0.5000, per Category IOU: [0.99504245 0.        ]
2024-11-27 14:41:05 - FewShotSeg - INFO - Epoch: 0, Iteration: 21, Training Loss: 0.0894, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99697565 0.        ]
2024-11-27 14:41:05 - FewShotSeg - INFO - Epoch: 0, Iteration: 22, Training Loss: 0.1129, Mean IoU: 0.4984, Mean Accuracy: 0.5000, per Category IOU: [0.996876 0.      ]
2024-11-27 14:41:06 - FewShotSeg - INFO - Epoch: 0, Iteration: 23, Training Loss: 0.1165, Mean IoU: 0.4979, Mean Accuracy: 0.5000, per Category IOU: [0.99580726 0.        ]
2024-11-27 14:41:06 - FewShotSeg - INFO - Epoch: 0, Iteration: 24, Training Loss: 0.1254, Mean IoU: 0.4981, Mean Accuracy: 0.5000, per Category IOU: [0.99621084 0.        ]
2024-11-27 14:41:06 - FewShotSeg - INFO - Epoch: 0, Iteration: 25, Training Loss: 0.0909, Mean IoU: 0.4986, Mean Accuracy: 0.5000, per Category IOU: [0.99727708 0.        ]
2024-11-27 14:41:06 - FewShotSeg - INFO - Epoch: 0, Iteration: 26, Training Loss: 0.0743, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.996592 0.      ]
2024-11-27 14:41:07 - FewShotSeg - INFO - Epoch: 0, Iteration: 27, Training Loss: 0.1088, Mean IoU: 0.4985, Mean Accuracy: 0.5000, per Category IOU: [0.99694575 0.        ]
2024-11-27 14:41:07 - FewShotSeg - INFO - Epoch: 0, Iteration: 28, Training Loss: 0.0634, Mean IoU: 0.4983, Mean Accuracy: 0.5000, per Category IOU: [0.99653719 0.        ]
2024-11-27 14:41:07 - FewShotSeg - INFO - Epoch: 0, Iteration: 29, Training Loss: 0.1019, Mean IoU: 0.5513, Mean Accuracy: 0.5533, per Category IOU: [0.99607198 0.10657596]
